call_id,proc_name,input_params,outcome,error_state,error_message,duration_ms,called_at
1,compute_customer_tier,"{""id"": 47398}",success,,,2460,2025-07-01 20:21:25
2,close_expired_orders,"{""id"": 33272}",success,,,2064,2025-07-10 19:08:35
3,transfer_money,"{""id"": 46730}",success,,,307,2025-12-08 23:32:02
4,compute_customer_tier,"{""id"": 18124}",success,,,2409,2025-08-27 11:45:38
5,update_inventory,"{""id"": 32549}",success,,,1699,2025-11-04 04:43:45
6,compute_customer_tier,"{""id"": 5850}",success,,,1012,2025-07-02 15:10:36
7,update_inventory,"{""id"": 5564}",error,P7006,Timeout exceeded,1700,2025-07-26 05:20:42
8,compute_customer_tier,"{""id"": 33302}",success,,,687,2025-09-14 23:07:12
9,transfer_money,"{""id"": 49210}",error,P7002,Null value in required column,2689,2025-09-13 21:46:01
10,compute_customer_tier,"{""id"": 17623}",error,P1003,Null value in required column,1253,2025-08-22 04:07:28
11,close_expired_orders,"{""id"": 38038}",success,,,1219,2025-07-03 06:37:00
12,transfer_money,"{""id"": 48804}",error,P5006,Timeout exceeded,1972,2025-07-30 23:52:20
13,update_inventory,"{""id"": 5035}",success,,,2961,2025-07-29 15:25:27
14,transfer_money,"{""id"": 35131}",success,,,1794,2025-09-30 04:45:27
15,compute_customer_tier,"{""id"": 22279}",error,P1001,Null value in required column,375,2025-08-10 23:29:09
16,generate_pay_slips,"{""id"": 38951}",success,,,1424,2026-02-22 15:17:37
17,generate_pay_slips,"{""id"": 48813}",success,,,1821,2025-12-18 06:18:04
18,close_expired_orders,"{""id"": 9283}",success,,,858,2025-12-06 06:50:38
19,close_expired_orders,"{""id"": 42676}",error,P6004,Timeout exceeded,67,2025-10-31 11:24:03
20,process_refund,"{""id"": 18664}",success,,,361,2025-06-16 15:02:58
21,transfer_money,"{""id"": 30126}",error,P1007,Timeout exceeded,439,2025-07-02 11:50:33
22,close_expired_orders,"{""id"": 21443}",timeout,P4007,Deadlock detected,53116,2025-06-29 22:10:17
23,close_expired_orders,"{""id"": 35056}",success,,,175,2026-01-28 07:40:26
24,update_inventory,"{""id"": 47}",success,,,2744,2025-08-06 17:11:40
25,transfer_money,"{""id"": 14647}",success,,,2601,2025-07-15 06:49:49
26,generate_pay_slips,"{""id"": 36083}",success,,,2254,2025-08-13 15:01:33
27,process_refund,"{""id"": 10351}",success,,,51,2025-08-13 00:00:57
28,close_expired_orders,"{""id"": 27979}",success,,,1627,2025-07-13 17:56:15
29,update_inventory,"{""id"": 14408}",success,,,1819,2025-09-02 10:22:36
30,transfer_money,"{""id"": 13065}",success,,,2654,2025-08-11 10:07:22
31,update_inventory,"{""id"": 19349}",success,,,1029,2026-02-03 09:31:53
32,close_expired_orders,"{""id"": 24598}",success,,,1486,2026-01-08 09:30:27
33,update_inventory,"{""id"": 63}",success,,,1889,2025-08-24 12:43:14
34,generate_pay_slips,"{""id"": 37966}",success,,,2581,2025-11-27 03:52:09
35,generate_pay_slips,"{""id"": 22775}",success,,,1666,2025-11-11 12:18:35
36,generate_pay_slips,"{""id"": 32138}",success,,,1180,2025-11-24 13:17:41
37,transfer_money,"{""id"": 26742}",success,,,2008,2025-07-03 10:01:26
38,update_inventory,"{""id"": 20818}",success,,,1072,2025-11-03 19:47:54
39,update_inventory,"{""id"": 13188}",success,,,2466,2025-10-13 15:46:41
40,transfer_money,"{""id"": 25721}",success,,,1034,2025-11-26 14:16:58
41,generate_pay_slips,"{""id"": 370}",success,,,2423,2026-01-17 23:51:12
42,generate_pay_slips,"{""id"": 17731}",success,,,1748,2025-06-18 12:01:11
43,close_expired_orders,"{""id"": 34910}",error,P8004,Deadlock detected,1454,2025-09-30 02:03:27
44,close_expired_orders,"{""id"": 28099}",success,,,2191,2025-07-01 08:10:09
45,process_refund,"{""id"": 10541}",success,,,1358,2025-08-16 15:57:05
46,transfer_money,"{""id"": 8953}",success,,,2420,2025-08-04 03:21:12
47,transfer_money,"{""id"": 27498}",success,,,528,2025-11-03 18:43:54
48,compute_customer_tier,"{""id"": 32463}",success,,,2087,2026-01-29 21:44:52
49,process_refund,"{""id"": 2141}",error,P6009,Deadlock detected,1257,2025-06-11 23:24:55
50,process_refund,"{""id"": 19260}",success,,,1586,2025-11-20 13:17:00
51,process_refund,"{""id"": 39872}",success,,,1917,2025-07-28 10:27:37
52,generate_pay_slips,"{""id"": 2680}",success,,,109,2025-09-07 18:32:57
53,process_refund,"{""id"": 44009}",success,,,232,2025-12-09 23:41:02
54,process_refund,"{""id"": 13739}",success,,,2131,2025-10-22 14:27:37
