refund_id,payment_id,order_id,amount,reason,refunded_at,status
1,5,7,847.56,Wrong Item,2025-08-08 00:00:00,Completed
2,7,9,67490.76,Wrong Item,2024-06-19 00:00:00,Completed
3,55,60,6482.04,Wrong Item,2026-02-10 00:00:00,Completed
4,61,67,333592.4,Wrong Item,2024-07-19 00:00:00,Completed
5,117,126,226335.88,Defective,2025-09-01 00:00:00,Completed
6,127,137,236873.18,Size issue,2026-02-26 00:00:00,Completed
7,159,171,1854.86,Not liked,2025-06-09 00:00:00,Completed
8,204,218,174147.48,Size issue,2025-11-09 00:00:00,Completed
9,219,237,1557.41,Defective,2025-04-06 00:00:00,Completed
10,225,246,37627.44,Size issue,2024-07-03 00:00:00,Completed
11,242,263,325933.44,Defective,2024-01-27 00:00:00,Completed
12,252,273,89377.44,Changed mind,2025-09-19 00:00:00,Completed
13,258,279,7513.17,Not liked,2025-03-09 00:00:00,Completed
14,276,298,194127.44,Size issue,2025-11-08 00:00:00,Completed
15,283,305,92965.58,Size issue,2025-04-13 00:00:00,Completed
16,292,314,316080.14,Defective,2025-11-11 00:00:00,Completed
17,298,320,177188.35,Defective,2025-10-24 00:00:00,Completed
18,329,355,13096.77,Size issue,2025-07-22 00:00:00,Completed
19,358,386,381652.64,Wrong Item,2024-05-23 00:00:00,Completed
20,366,394,105190.26,Size issue,2025-04-09 00:00:00,Completed
21,373,401,104025.96,Not liked,2026-02-25 00:00:00,Completed
22,374,402,13864.95,Defective,2024-03-20 00:00:00,Completed
23,384,412,87020.8,Not liked,2024-11-20 00:00:00,Completed
24,387,415,1063.84,Wrong Item,2024-11-01 00:00:00,Completed
25,485,519,10482.1,Size issue,2024-01-10 00:00:00,Completed
26,492,526,47082.12,Wrong Item,2025-09-29 00:00:00,Completed
27,501,536,72429.71,Size issue,2026-02-18 00:00:00,Completed
28,531,567,152557.02,Defective,2024-12-20 00:00:00,Completed
29,539,575,204125.21,Size issue,2024-07-31 00:00:00,Completed
30,587,629,27596.09,Wrong Item,2026-01-06 00:00:00,Completed
31,597,639,56669.99,Not liked,2025-01-25 00:00:00,Completed
